,Website,Total Img Count,Optimized Img Count,Actual Bytes,Transferred Bytes,q-75,q-70,q-50,q-30,q-10
250,zhcw.com,113.0,104.0,4523398.0,3728845.0,1275548.0,1252220.0,1168982.0,1075746.0,973418.0
251,shopee.co.id,88.0,78.0,9015896.0,4604326.0,2535484.0,2496396.0,2369954.0,2225050.0,2080922.0
252,premierleague.com,136.0,125.0,13931996.0,5534088.0,3792126.0,3765680.0,3665790.0,3550359.0,3431977.0
253,glassdoor.co.in,16.0,10.0,7204634.0,2443892.0,2149188.0,2144136.0,2124646.0,2101179.0,2078013.0
254,flipkart.com,24.0,24.0,6889717.0,1548151.0,1445279.0,1437737.0,1411507.0,1381373.0,1344189.0
255,17track.net,71.0,43.0,9151188.0,1397178.0,1391661.0,1390783.0,1386901.0,1381725.0,1376429.0
256,adobe.com,58.0,7.0,7425419.0,2424056.0,2194149.0,2192331.0,2185381.0,2178069.0,2169557.0
257,iqiyi.com,44.0,30.0,3970377.0,2835222.0,1149819.0,1109721.0,971822.0,848562.0,739922.0
258,daraz.pk,78.0,22.0,5543932.0,3360433.0,3130752.0,3119428.0,3081420.0,3034126.0,2973782.0
259,merdeka.com,84.0,70.0,5324225.0,2120208.0,1518887.0,1503191.0,1447001.0,1385535.0,1317779.0
260,toppr.com,96.0,9.0,12678903.0,4757748.0,4704842.0,4704840.0,4704732.0,4704648.0,4704550.0
261,google.com.pk,20.0,4.0,1617011.0,582424.0,580772.0,580656.0,580144.0,577748.0,570810.0
262,lun.com,99.0,88.0,3378728.0,1382976.0,1323231.0,1319783.0,1308459.0,1296579.0,1255336.0
263,manoramaonline.com,72.0,62.0,3934855.0,2134268.0,1273401.0,1256333.0,1195649.0,1131625.0,1059505.0
264,wsj.com,77.0,63.0,18579607.0,9463480.0,6412744.0,6403156.0,6371852.0,6333908.0,6293350.0
265,hsbc.com.hk,154.0,14.0,5491832.0,2024938.0,1569045.0,1561573.0,1533869.0,1506125.0,1477755.0
266,varzesh3.com,106.0,77.0,4386851.0,2999596.0,2334857.0,2294891.0,2095394.0,1879848.0,1640693.0
267,sarkariresult.com,32.0,19.0,5210075.0,1759011.0,1586578.0,1578960.0,1557816.0,1537236.0,1517740.0
268,ozon.ru,80.0,74.0,4833161.0,1564137.0,1494542.0,1481538.0,1433364.0,1350386.0,1290814.0
269,britannica.com,28.0,22.0,6616792.0,2167035.0,2086792.0,2081350.0,2058086.0,2032608.0,2005222.0
270,ptt.cc,6.0,6.0,144123.0,66489.0,58831.0,58695.0,58213.0,57717.0,57147.0
271,toutiao.com,2.0,2.0,896052.0,359093.0,296215.0,295729.0,295029.0,294549.0,293865.0
272,somoynews.tv,18.0,17.0,5787333.0,2776193.0,1657467.0,1638297.0,1573603.0,1510323.0,1441549.0
273,motor1.com,72.0,66.0,7202128.0,2610986.0,2485254.0,2476350.0,2419106.0,2326552.0,2200060.0
274,samsung.com,84.0,76.0,8447896.0,3753039.0,3144857.0,3127095.0,3076004.0,3021203.0,2965298.0
275,amazon.fr,119.0,66.0,3378364.0,1963436.0,1743493.0,1714191.0,1617295.0,1517763.0,1413798.0
276,asana.com,52.0,38.0,12971199.0,7214438.0,2745888.0,2717122.0,2617728.0,2512376.0,2408814.0
277,eghtesadnews.com,38.0,36.0,1953323.0,1341077.0,1052805.0,1030631.0,952751.0,870100.0,734046.0
278,poshmark.com,129.0,110.0,5968458.0,2702051.0,2084936.0,2057606.0,1960006.0,1852270.0,1731302.0
279,joinhoney.com,89.0,74.0,7870975.0,3068331.0,2838681.0,2837125.0,2833049.0,2828441.0,2823727.0
280,facebook.com,5.0,4.0,1139475.0,346459.0,336159.0,336057.0,335769.0,335491.0,335147.0
281,alibaba.com,145.0,141.0,6045198.0,2525714.0,2085028.0,2070036.0,2006816.0,1907326.0,1825610.0
282,google.de,20.0,3.0,1505026.0,524414.0,524290.0,524292.0,524226.0,522333.0,515829.0
283,npr.org,48.0,33.0,7199169.0,2655842.0,2369981.0,2367915.0,2361099.0,2356409.0,2347251.0
284,insider.com,36.0,27.0,8174083.0,2330343.0,2294176.0,2289507.0,2253123.0,2213211.0,2170143.0
285,wetransfer.com,14.0,11.0,5285038.0,2166985.0,1563719.0,1561117.0,1551593.0,1542215.0,1532765.0
